Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
The Abyss (DAICO),ABYSS,DAICO,$15.36 M,$2.1 M,—,,Gaming,0.05x,"Apr 16, 2018",0,https://icodrops.com/theabyss/
VideoCoin,,Main Sale,$86.5 M,$75.79 K,—,,NFT,0.01x,"May 15, 2018",0,https://icodrops.com/videocoin/
Academy,ACAD,Main Sale,—,$390 M,—,,Blockchain Service,0.01x,"Mar 15, 2018",0,https://icodrops.com/academy/
HYCON,HYCON,Main Sale,$3.75 M,$925.31 M,—,,Blockchain,3.51x,"Mar 30, 2018",0,https://icodrops.com/hycon/
Eligma,ELI,Main Sale,$7.21 M,$1.59 K,—,,Blockchain Service,0.01x,"Apr 17, 2018",0,https://icodrops.com/eligma/
HOLD,HOLD,Main Sale,$11.3 M,$1.83 M,—,,Finance,49.42x,"May 4, 2018",0,https://icodrops.com/hold/
Grain,GRAIN,Main Sale,$9.91 M,$49.32 M,—,,Smart Contract,0.54x,"Apr 16, 2018",0,https://icodrops.com/grain/
Project SHIVOM,OmiX,Main Sale,$68.1 M,$28.05 K,—,,Healthcare,0.01x,"May 3, 2018",0,https://icodrops.com/project-shivom/
Solve.Care,CAN,Public Sale,$23 M,$98.53 K,—,,Healthcare,0.01x,"Mar 31, 2018",0,https://icodrops.com/solve-care/
Blockchain Terminal,BCT,Main Sale,$43 M,—,—,,Trading,—,"Mar 31, 2018",0,https://icodrops.com/bct/
Saifu,SFU,Main Sale,$13.02 M,$10 K,—,,Payments,568.7x,"Feb 19, 2018",0,https://icodrops.com/saifu/
CloudMoolah,XMOO,Main Sale,$20.4 M,$45 M,—,,Gaming,1x,"Mar 30, 2018",0,https://icodrops.com/cloudmoolah/
Quant Network,QNT,Public Sale,$26 M,$1.07 B,,,Protocol,47.5x,"Apr 2, 2018",0,https://icodrops.com/quant-network/
Saturn Network,SATURN,Pre-Sale,—,$3.76 M,—,,Trading,0.56x,"Apr 30, 2018",0,https://icodrops.com/saturn-network/
Concierge.io,CGE,Main Sale,$34.36 K,$35 M,—,,Marketplace,—,"Mar 31, 2018",0,https://icodrops.com/concierge-io/
DML,DML,Main Sale,$61.65 M,$24.9 K,—,,Protocol,0.01x,"Apr 16, 2018",0,https://icodrops.com/dml/
Morpheus Network,MORPH,ICO,$9.88 M,$857.36 K,—,,Infrastructure,0.04x,"Mar 23, 2018",0,https://icodrops.com/morpheus-network/
Nebula AI,NBAI,Main Sale,—,$2.51 M,—,,Blockchain,0.53x,"Apr 2, 2018",0,https://icodrops.com/nebula-ai/
NKN,NKN,Public Sale,$27.03 M,$11 M,3,,Blockchain Service,0.11x,"Apr 19, 2018",0,https://icodrops.com/nkn/
Themis Network,GET,Public Sale,$13.97 M,$100.1 K,3,,Payments,—,"Apr 19, 2018",0,https://icodrops.com/themis-network/
Auctus,AUC,Main Sale,$7.5 K,$29.92 K,—,,DeFi,0.01x,"Mar 27, 2018",0,https://icodrops.com/auctus/
Block Collider,EMB,Main Sale,$7 M,$39.27 M,—,,Blockchain Service,872.67x,"Apr 13, 2018",0,https://icodrops.com/block-collider/
NeuroChain,NCC,Main Sale,$23.4 M,$253.51 K,—,,Artificial Intellig…,0.01x,"Mar 15, 2018",0,https://icodrops.com/neurochain/
Current,CRNC,Main Sale,$36 M,$240 M,2,,Media,1x,"Apr 14, 2018",0,https://icodrops.com/current/
Coinvest,COIN,Main Sale,$52.5 M,$444.9 K,—,,Trading,0.01x,"Mar 9, 2018",0,https://icodrops.com/coinvest/
BitGuild,PLAT,Main Sale,$25.35 M,$7.78 M,—,,Gambling,0.1x,"Mar 16, 2018",0,https://icodrops.com/bitguild/
Doc.com,MTC,Public Sale,$10.24 M,$416.9 K,—,,Healthcare,0.02x,"Mar 6, 2018",0,https://icodrops.com/doccom/
Thrive,THRT,Main Sale,$31.25 M,$332.13 K,—,,Advertising,0.01x,"Mar 10, 2018",0,https://icodrops.com/thrive/
Thor Token,THOR,Main Sale,$65 K,$100 M,—,,Dapp,0.01x,"Mar 12, 2018",0,https://icodrops.com/thor-token/
Own,CHX,Main Sale,$3.43 M,$39.01 K,—,,Trading,0.01x,"Mar 28, 2018",0,https://icodrops.com/own/
Lendingblock,LND,ICO,$10 M,$22.13 K,2,,Finance,0.01x,"Mar 23, 2018",0,https://icodrops.com/lendingblock/
Faceter,FACE,Main Sale,$28.61 M,$19.03 K,,,Big Data,0.01x,"Feb 15, 2018",0,https://icodrops.com/faceter/
Narrative network,NRV,Main Sale,—,$81.34 K,—,,Social Network,0.01x,"Feb 20, 2018",0,https://icodrops.com/narrative-network/
Effect.ai,EFX,Main Sale,$10.98 M,$54.6 M,—,,Artificial Intellig…,4.83x,"Mar 24, 2018",0,https://icodrops.com/effect-ai/
Gilgamesh,GIL,Main Sale,$1.58 M,$158.4 M,—,,Blockchain Service,—,"Jan 15, 2018",0,https://icodrops.com/gilgamesh/
Sharder,SS,Main Sale,$10 K,$22.3 M,—,,Protocol,—,"Feb 23, 2018",0,https://icodrops.com/sharder/
Celsius,CEL,Crowd Sale,$908.1 M,$721.17 K,6,,Lending Platform,0.07x,"Mar 16, 2018",0,https://icodrops.com/celsius/
Sapien Network,SPN,Main Sale,$29 M,$5.61 K,—,,Media,0.01x,"Mar 20, 2018",0,https://icodrops.com/sapien-network/
Switcheo,SWTH,Public Sale,$10.88 M,$550.07 K,7,,DeFi,0.02x,"Mar 16, 2018",0,https://icodrops.com/switcheo-network/
Socialmedia.market,SMT,Main Sale,$13.99 K,$50 M,—,,Marketing,0.24x,"Feb 9, 2018",0,https://icodrops.com/socialmedia-market/
YGGDRASH,YEED,Pre-Sale,$25 M,$1.74 M,—,,Blockchain,—,"Mar 12, 2018",0,https://icodrops.com/yggdrash/
Dragon,DRG,Main Sale,$320 M,$72.15 K,—,,Media,0.03x,"Feb 15, 2018",0,https://icodrops.com/drg-token/
BlitzPredict,XBP,Main Sale,$7.6 M,$87.58 K,—,,Bets,0.01x,"Mar 5, 2018",0,https://icodrops.com/blitzpredict/
DATx,DATx,Main Sale,—,$6.1 K,—,,Advertising,0.01x,"Mar 5, 2018",0,https://icodrops.com/datx/
IP Exchange,IPSX,Main Sale,$9.15 K,$21.6 M,—,,Marketplace,0.01x,"Feb 28, 2018",0,https://icodrops.com/ip-exchange/
Electrify.Asia,ELEC,ICO,$30 M,$33.01 B,—,,Energy,550x,"Feb 23, 2018",0,https://icodrops.com/electrify-asia/
TomoCoin,TOMO,Public Sale,$9.25 M,$8.71 M,8,,Blockchain,0.17x,"Mar 1, 2018",0,https://icodrops.com/tomocoin/
Bankera,BNK,ICO,$153.77 M,$1.24 M,—,,Finance,7.28x,"Nov 27, 2017",0,https://icodrops.com/bankera/
Crowd Genie,CGcoin,Main Sale,$5.55 M,—,—,,Finance,—,"Dec 24, 2017",0,https://icodrops.com/crowd-genie/
Ignite Ratings,IGNT,Main Sale,$3.46 M,$50 M,—,,Trading,1.16x,"Jan 15, 2018",0,https://icodrops.com/ignite-ratings/
FintruX,FTX,Main Sale,$36.56 M,$35.95 K,—,,Finance,0.01x,"Feb 7, 2018",0,https://icodrops.com/fintrux/
Bridge Protocol,IAM,Main Sale,—,$21.3 K,—,,Protocol,0.01x,"Feb 22, 2018",0,https://icodrops.com/bridge-protocol/
AdHive,ADH,Main Sale,$17.49 M,$215.84 K,—,,Advertising,0.01x,"Feb 28, 2018",0,https://icodrops.com/adhive/
Debitum Network,DEB,Initial Coin Offering,$17.2 M,$1.53 M,—,,Finance,0.03x,"Jan 25, 2018",0,https://icodrops.com/debitum/
dock.io,DOCK,Main Sale,$8.21 M,$2.41 M,—,,Big Data,0.03x,"Feb 21, 2018",0,https://icodrops.com/dock-io/
Lendroid,LST,Token Sale,$47 M,$299.99 K,—,,Finance,0.03x,"Feb 19, 2018",0,https://icodrops.com/lendroid/
Expand,GEM,Main Sale,—,$80.48 K,—,,Blockchain Service,0.01x,"Feb 15, 2018",0,https://icodrops.com/expand/
Winding Tree,LIF,Main Sale,$15.24 K,$12.87 K,—,,Travel,0.01x,"Feb 1, 2018",0,https://icodrops.com/winding-tree/
ChronoBank,TIME,Main Sale,$5.41 M,$1.92 M,—,,Avalanche Ecosystem,0.27x,"Feb 14, 2018",0,https://icodrops.com/chronobank/
FundRequest,FND,Main Sale,$3.6 M,$152.45 K,—,,DeFi,1546x,"Feb 12, 2018",0,https://icodrops.com/fundrequest/
EBCoin,EBC,Main Sale,$8.08 M,$1.34 M,—,,Currency,0.01x,"Jan 16, 2018",0,https://icodrops.com/ebcoin/
EximChain,EXC,Main Sale,$20 M,$975.6 K,—,,Blockchain Service,0.02x,"Feb 12, 2018",0,https://icodrops.com/eximchain/
Globitex,GBX,ICO,$12.87 M,$1.94 M,—,,Exchange,0.09x,"Feb 10, 2017",0,https://icodrops.com/globitex/
Scorum,SCR,Main Sale,$5.63 M,$26.9 K,—,,Sport,0.01x,"Jan 14, 2018",0,https://icodrops.com/scorum/
Concensum,CPY,Main Sale,$11.34 M,$110 M,—,,Blockchain Service,0.01x,"Jan 10, 2018",0,https://icodrops.com/concensum/
Dether,DTH,Public Sale,$13.44 M,$253 K,—,,Finance,0.01x,"Feb 7, 2018",0,https://icodrops.com/dether/
GBX,RKT,Main Sale,$27 M,$90 M,—,,Exchange,1x,"Feb 7, 2018",0,https://icodrops.com/gbx/
Huobi token,HT,Main Sale,$300 M,$35.33 M,—,,CEX,0.11x,"Jan 24, 2018",0,https://icodrops.com/huobi-token/
The Bee Token,BEE,Main Sale,$5 M,$110 M,—,,Real Estate,0.01x,"Jan 31, 2018",0,https://icodrops.com/the-bee-token/
FuzeX,FXT,Main Sale,$33.04 M,$16.83 K,—,,Finance,0.01x,"Feb 1, 2018",0,https://icodrops.com/fuzex/
Energitoken,ETK,Main Sale,$15 M,$92.31 M,—,,Energy,—,"Nov 17, 2017",0,https://icodrops.com/energitoken/
iungo,ING,Main Sale,$40 M,$28.79 K,—,,Infrastructure,0.01x,"Dec 7, 2017",0,https://icodrops.com/iungo/
CrowdWiz,WIZ,Main Sale,$7.23 M,$6.57 M,—,,Trading,0.96x,"Nov 20, 2017",0,https://icodrops.com/crowdwiz/
Storiqa,STQ,Main Sale,$25 M,$47.29 K,—,,Retail,0.01x,"Nov 28, 2017",0,https://icodrops.com/storiqa/
APEX,CPX,Main Sale,$25 M,$1.06 M,—,,Blockchain Service,0.01x,"Jan 29, 2018",0,https://icodrops.com/apex/
dadi,DADI,Main Sale,$33 M,$15.72 M,—,,Cloud Storage,0.52x,"Jan 29, 2018",0,https://icodrops.com/dadi/
Sharpe Capital,SHP,Main Sale,$6 K,$2.08 K,—,,Trading,0.01x,"Nov 6, 2017",0,https://icodrops.com/sharpe-capital/
LiveEdu,EDU,Main Sale,$10 M,$25 M,—,,Blockchain Service,0.02x,"Jan 15, 2018",0,https://icodrops.com/liveedu/
Blockport,BPT,Main Sale,$15 K,$98.38 K,—,,BNB Chain Ecosystem,0.01x,"Jan 24, 2018",0,https://icodrops.com/blockport/
Elastos,ELA,Public Sale,$114.07 M,$12.89 M,4,,Blockchain,0.04x,"Jan 2, 2018",0,https://icodrops.com/elastos/
Ink Protocol,XNK,Main Sale,$15 M,$525,—,,Blockchain Service,0.01x,"Jan 22, 2018",0,https://icodrops.com/ink-protocol/
FORTUNA,FOTA,Main Sale,$2 M,$14.49 K,—,,Trading,0.01x,"Jan 21, 2018",0,https://icodrops.com/fortuna/
Bluzelle,BLZ,ICO,$21.3 M,$5.19 M,4,,Gaming,0.09x,"Jan 18, 2018",0,https://icodrops.com/bluzelle/
Devery,EVE,Main Sale,$10 M,$56.64 K,—,,Retail,0.01x,"Jan 18, 2018",0,https://icodrops.com/devery/
SCRY.INFO,DDD,Initial Coin Offering,$42.29 M,$22.2 K,6,,Blockchain Service,0.01x,"Jan 19, 2018",0,https://icodrops.com/scry-info/
Mobius,MOBI,Public Sale Round 2,$38.87 M,$842.71 K,1,,IOT,0.01x,"Jan 18, 2018",0,https://icodrops.com/mobius/
Envion,EVN,Main Sale,$100 M,$1.41 M,—,,Software,0.02x,"Dec 15, 2017",0,https://icodrops.com/envion/
InsurePal,IPL,Main Sale,$18 M,$5.7 K,—,,Blockchain Service,0.01x,"Jan 16, 2018",0,https://icodrops.com/insurepal/
Boon.Tech,BOON,Main Sale,$5 M,$4.26 K,—,,Marketplace,0.01x,"Dec 14, 2017",0,https://icodrops.com/boon-tech/
PARETO,PARETO,Main Sale,—,$11.62 K,—,,Media,0.01x,"Nov 30, 2017",0,https://icodrops.com/pareto/
Thekey.vip,TKY,Main Sale,$22 M,$1.84 M,—,,Big Data,18.8x,"Jan 15, 2018",0,https://icodrops.com/thekey-vip/
GatCoin,GAT,Main Sale,$14.5 M,$1.06 M,—,,Marketing,46.62x,"Jan 14, 2018",0,https://icodrops.com/gatcoin/
adbank,ADB,ICO,$13.96 M,$9.15 K,—,,Blockchain Service,0.01x,"Dec 14, 2017",0,https://icodrops.com/adbank/
Olympus Labs,MOT,Main Sale,$60 M,$7.5 M,—,,Finance,0.01x,"Jan 13, 2018",0,https://icodrops.com/olympus-labs/
X8currency,X8X,Main Sale,$4.15 K,$10 M,—,,Currency,—,"Jan 15, 2018",0,https://icodrops.com/x8currency/
LALA World,LALA,Main Sale,$15 K,$32.5 M,—,,Finance,0.01x,"Jan 5, 2018",0,https://icodrops.com/lala-world/
Latium,LATX,Main Sale,$180 M,$554.4 K,—,,Collaboration,0.02x,"Nov 15, 2017",0,https://icodrops.com/latium/
Block.array,ARY,Main Sale,$11.5 K,$27.36 M,—,,Blockchain Service,0.18x,"Jan 5, 2018",0,https://icodrops.com/block-array/
Neuromation,NTK,Main Sale,$71.6 M,$169.58 K,—,,Network,1.5x,"Jan 7, 2018",0,https://icodrops.com/neuromation/
Refereum,RFR,Pre-Sale,$27.4 M,$27.35 K,—,,Media,0.01x,"Jan 8, 2018",0,https://icodrops.com/refereum/
Shipchain,SHIP,Main Sale,$30 M,$123.75 K,—,,Blockchain Service,0.01x,"Jan 5, 2018",0,https://icodrops.com/shipchain/
Crypterium,CRPT,Public Sale,$50.8 M,$37.59 K,,,Finance,—,"Oct 31, 2017",0,https://icodrops.com/crypterium/
trade.io,TIO,Main Sale,$31.17 M,$4.22 M,—,,CEX,0.02x,"Dec 7, 2017",0,https://icodrops.com/trade-io/
Zipper,ZIPT,Main Sale,$20 K,$132 K,—,,Mobile,0.01x,"Nov 29, 2017",0,https://icodrops.com/zipper/
Bloom,BLT,Public Sale,$51.42 M,$82.03 K,,,Finance,0.01x,"Nov 30, 2017",0,https://icodrops.com/bloom/
Spectiv,SIG,Main Sale,$10.03 K,$3.64 K,—,,VR,0.01x,"Dec 9, 2017",0,https://icodrops.com/spectiv/
Linker Coin,LNC,Main Sale,$10.8 M,$2.06 M,—,,Blockchain Service,0.02x,"Nov 25, 2017",0,https://icodrops.com/linker-coin/
Finom,FIN,Main Sale,$41.29 M,$850 M,—,,Business,1x,"Nov 15, 2017",0,https://icodrops.com/finom/
Loci,LOCIcoin,Main Sale,$10.23 K,$295.4 K,—,,Blockchain Service,0.01x,"Dec 8, 2017",0,https://icodrops.com/locipro/
Telcoin,Telcoin,ICO,$60 M,$213.4 M,,,Ethereum Ecosystem,2.13x,"Dec 11, 2017",0,https://icodrops.com/telco/
STK Token,STK,Main Sale,$17 M,$114.95 K,—,,Currency,0.01x,"Dec 29, 2017",0,https://icodrops.com/stk-token/
BitDegree,BDG,Main Sale,$23.52 M,$44.85 K,—,,Marketplace,0.01x,"Dec 1, 2017",0,https://icodrops.com/bitdegree/
Gladius,GLA,Main Sale,$19.57 K,$79.93 M,—,,Security,0.01x,"Nov 23, 2017",0,https://icodrops.com/gladius/
BANKEX,BKX,Main Sale,$70.6 M,$91.64 K,—,,Finance,0.01x,"Nov 28, 2017",0,https://icodrops.com/bankex/
Jibrel Network,JNT,Main Sale,$30 M,$28.2 M,—,,Trading,0.56x,"Nov 27, 2017",0,https://icodrops.com/jibrel-network/
Nitro,NOX,Main Sale,$2.69 M,$4.1 M,—,,Move To Earn,0.04x,"Nov 30, 2017",0,https://icodrops.com/nitro/
TokenPay,TPAY,Main Sale,$2.5 K,$129.62 K,—,,Currency,0.01x,"Dec 7, 2017",0,https://icodrops.com/tokenpay/
Sirin Labs,SRN,Main Sale,$157.89 M,$79.13 K,—,,Cardano Ecosystem,0.14x,"Dec 12, 2017",0,https://icodrops.com/sirin-labs/
Insolar,XNS,Main Sale,$60 K,$4.23 M,—,,Platform,0.02x,"Dec 4, 2017",0,https://icodrops.com/ins/
Sola,SOL,Main Sale,$2.23 M,$150 M,—,,Social Network,0.01x,"Nov 27, 2017",0,https://icodrops.com/sola/
Uttoken,UTT,Main Sale,$34.28 M,$124.9 K,—,,Trading,0.01x,"Nov 30, 2017",0,https://icodrops.com/uttoken/
Zen Protocol,ZP,Main Sale,$12 M,$3.49 M,—,,Blockchain,122.78x,"Nov 30, 2017",0,https://icodrops.com/zen-protocol/
Hdac,DAC,Main Sale,$20 M,$15.65 M,—,,IOT,0.07x,"Nov 27, 2017",0,https://icodrops.com/hdac/
Qlink,QLC,Main Sale,$3.98 M,$8 M,—,,Technology,0.8x,"Dec 22, 2017",0,https://icodrops.com/qlink/
indaHash,IDH,Main Sale,$37.2 M,$7.05 K,—,,Marketing,0.01x,"Nov 29, 2017",0,https://icodrops.com/indahash/
AppCoins,APPC,Main Sale,$15.3 M,$68.79 K,—,,Mobile,0.01x,"Dec 13, 2017",0,https://icodrops.com/appcoins/
Aditus,ADI,Main Sale,$7.1 M,$267.8 K,—,,Marketplace,0.01x,"Nov 30, 2017",0,https://icodrops.com/aditus/
CommerceBlock,CBT,Main Sale,$8.82 M,$1.72 M,—,,Finance,0.03x,"Nov 28, 2017",0,https://icodrops.com/commerceblock/
MiniApps,MAT,Main Sale,$5.3 M,—,—,,Blockchain Service,6.4x,"Oct 17, 2017",0,https://icodrops.com/miniapps/
Robomed,RBM,Main Sale,$14.14 M,$242.1 M,—,,Healthcare,—,"Oct 25, 2017",0,https://icodrops.com/robomed/
SophiaTX,SPHTX,Main Sale,$23.47 M,$40.05 K,—,,Blockchain,0.01x,"Dec 7, 2017",0,https://icodrops.com/sophiatx/
Coinlancer,CL,Main Sale,$11.86 M,$29.02 B,—,,Collaboration,388.16x,"Oct 4, 2017",0,https://icodrops.com/coinlancer/
DreamTeam,DTT,Main Sale,$10.11 M,—,—,,Gaming,0.86x,"Dec 11, 2017",0,https://icodrops.com/dream-team/
DeepBrain Chain,DBC,Main Sale,$248 K,$3.81 M,—,,Artificial Intellig…,0.02x,"Dec 15, 2017",0,https://icodrops.com/deepbrain-chain/
Aigang,AIX,Main Sale,$4.23 M,—,—,,Insurance,0.01x,"Nov 15, 2017",0,https://icodrops.com/aigang/
UpToken,UP,Main Sale,$18.93 M,$795.79 K,—,,Real Business,0.04x,"Oct 16, 2017",0,https://icodrops.com/uptoken/
GET Protocol,GET,Public Sale,$15.98 M,$2.17 M,2,,Blockchain Service,0.1x,"Nov 15, 2017",0,https://icodrops.com/get-protocol/
GIFTO,GFT,Public Sale,$32.5 M,$39.85 K,10,,Media,0.01x,"Dec 14, 2017",0,https://icodrops.com/gifto/
GUTS Tickets,GET,Main Sale,$10.94 K,$90 M,—,,Ticketing,0.98x,"Oct 25, 2017",0,https://icodrops.com/guts-tickets/
Wala,DALA,Main Sale,$1.2 M,$100 M,—,,Finance,1x,"Dec 1, 2017",0,https://icodrops.com/wala/
Spectre,SXDT,Main Sale,$37.7 K,$1.91 M,—,,Trading,0.06x,"Nov 17, 2017",0,https://icodrops.com/spectre/
SportyFi,SPF,Main Sale,$5.09 M,$51.99 K,—,,Blockchain Service,0.01x,"Nov 20, 2017",0,https://icodrops.com/sportyfi/
Universa,UTN,Main Sale,$28.56 M,$18.56 M,—,,Blockchain,0.37x,"Oct 28, 2017",0,https://icodrops.com/universa/
Aphelion,APH,Main Sale,$35.86 M,$9.33 M,—,,Trading,0.01x,"Nov 15, 2017",0,https://icodrops.com/aphelion/
Hut34,ENT,Main Sale,$3.38 M,$153.1 K,—,,Artificial Intellig…,0.01x,"Nov 2, 2017",0,https://icodrops.com/hut34/
Leverj,LEV,Main Sale,$20.76 M,$339.1 M,—,,CEX,1.47x,"Nov 7, 2017",0,https://icodrops.com/leverj/
Qchain,EQC,Main Sale,$700 K,$52.5 M,—,,Advertising,0.01x,"Dec 6, 2017",0,https://icodrops.com/qchain/
fidentiaX,fdX,Main Sale,$2.89 M,$3.76 M,—,,Insurance,0.04x,"Nov 5, 2017",0,https://icodrops.com/fidentiax/
Crypto.tickets,TKT,Main Sale,$1.75 M,$36.59 M,—,,Ticketing,382.75x,"Nov 1, 2017",0,https://icodrops.com/crypto-tickets/
Ost,OST,Main Sale,$21.73 M,$7.93 K,6,,Blockchain,0.01x,"Nov 14, 2017",0,https://icodrops.com/ost/
Vezt,VZT,Main Sale,$1.38 M,$25 M,—,,Marketplace,0.01x,"Nov 3, 2017",0,https://icodrops.com/vezt/
CRYPTO20,C20,Main Sale,$37.7 M,$565.68 K,—,,CryptoFund,0.03x,"Oct 15, 2017",0,https://icodrops.com/crypto20/
Playkey,PKT,Main Sale,$10.5 M,$13.65 K,—,,Gaming,0.01x,"Nov 1, 2017",0,https://icodrops.com/playkey/
PallyCoin,PAL,Main Sale,$861.41 K,$7.5 M,—,,Social,1x,"Oct 15, 2017",0,https://icodrops.com/pallycoin/
Genaro Network,GNX,Main Sale,$26 K,$40.63 K,,,Cloud Storage,0.01x,"Nov 17, 2017",0,https://icodrops.com/genaro-network/
Esports,ERT,Main Sale,$5.84 M,$2.84 K,—,,Gaming,0.01x,"Nov 1, 2017",0,https://icodrops.com/esports/
Tael,WABI,Main Sale,$11.5 M,$7.34 K,—,,Marketing,0.14x,"Nov 28, 2017",0,https://icodrops.com/wabi/
Aave,LEND,ICO,$49.3 M,$866.08 M,5,,Finance,—,"Nov 25, 2017",0,https://icodrops.com/ethlend/
Snovian.Space,SNOV,Main Sale,$2.13 M,$53.95 K,—,,Business,0.01x,"Oct 31, 2017",0,https://icodrops.com/snovio/
Datum,DAT,Main Sale,$1.5 M,$250.26 K,—,,Marketplace,0.01x,"Oct 29, 2017",0,https://icodrops.com/datum/
Game.com,GTC,ICO,$16.04 M,$5.08 K,,,—,0.01x,"Nov 1, 2017",0,https://icodrops.com/game-com/
Mercury Protocol,GMT,Main Sale,$10.04 M,$663 K,—,,Blockchain Service,0.02x,"Oct 25, 2017",0,https://icodrops.com/mercury-protocol/
MyWish,WISH,Main Sale,$2.67 M,$8.99 K,—,,Polygon Ecosystem,0.01x,"Oct 25, 2017",0,https://icodrops.com/mywish/
Aion,AION,Public Sale,$43.01 M,$118.37 K,2,,Cryptocurrency,0.01x,"Nov 23, 2017",0,https://icodrops.com/aion/
Science,SCI,Main Sale,$12.23 M,$100 M,—,,Crowdfunding,1x,"Aug 1, 2017",0,https://icodrops.com/science/
CyberMiles,CMT,Main Sale,$33.65 M,$2.88 M,—,,Cosmos Ecosystem,0.06x,"Nov 21, 2017",0,https://icodrops.com/cybermiles/
Bodhi,BOT,Main Sale,—,$35 M,—,,Market,0.01x,"Nov 20, 2017",0,https://icodrops.com/bodhi/
Time New Bank,TNB,Main Sale,$14.36 M,$4.77 K,—,,Marketplace,0.01x,"Nov 13, 2017",0,https://icodrops.com/time-new-bank/
Oracles Network,POA,Public Presale,$12.64 M,$18.81 M,—,,Smart Contract,0.04x,"Nov 16, 2017",0,https://icodrops.com/oracles-network/
Privatix,PRIXY,Main Sale,$2.1 M,$48.45 K,—,,Network,0.01x,"Oct 19, 2017",0,https://icodrops.com/privatix/
Genesis Vision,GVT,Main Sale,$2.84 M,$255.68 K,—,,Trading,0.06x,"Oct 15, 2017",0,https://icodrops.com/genesis-vision/
Matryx,MTX,Main Sale,$4 M,$336.46 K,—,,Collaboration,0.01x,"Sep 12, 2017",0,https://icodrops.com/matryx/
Publica,PBL,Main Sale,$1.05 M,$16.61 K,—,,Marketplace,0.01x,"Nov 1, 2017",0,https://icodrops.com/publica/
Soma,SCT,Main Sale,$8.2 M,$16.49 K,—,,Marketplace,0.01x,"Sep 25, 2017",0,https://icodrops.com/soma/
Starbase,STAR,Public Sale,$17 M,$33.08 T,—,,Crowdfunding,413513x,"Sep 27, 2017",0,https://icodrops.com/starbase/
QASH,QASH,Public Sale,$135.4 M,$1.53 T,4,,CEX,5021x,"Nov 5, 2017",0,https://icodrops.com/qash/
(SCAM) Confido,CFD,Main Sale,$400 K,$600 K,—,,Payments,—,"Oct 28, 2017",0,https://icodrops.com/confido/
COMSA,CMS,Main Sale,$95.37 M,$4.65 M,—,,Blockchain Service,0.21x,"Oct 1, 2017",0,https://icodrops.com/comsa/
Raiden Network,RDN,Public Sale,$33.4 M,$59.2 K,8,,Infrastructure,0.01x,"Oct 18, 2017",0,https://icodrops.com/raiden/
Wolk,WLK,Main Sale,$8.34 K,$1.01 M,—,,Blockchain Service,0.17x,"Oct 15, 2017",0,https://icodrops.com/wolk/
Aeron,ARN,Main Sale,$4.9 M,$11.8,—,,Blockchain Service,0.01x,"Sep 18, 2017",0,https://icodrops.com/aeron/
Horizon State,HST,Main Sale,$876 K,$47.37 K,—,,Blockchain Service,0.01x,"Oct 16, 2017",0,https://icodrops.com/horizon-state/
Etherparty,FUEL,Main Sale,$33.73 M,$24.28 K,—,,Smart Contract,0.01x,"Oct 1, 2017",0,https://icodrops.com/etherparty/
Snip,SNP,Main Sale,$4.88 M,$39 M,—,,Media,0.01x,"Sep 28, 2017",0,https://icodrops.com/snip/
Polkadot,DOT,Public Sale,$247.76 M,$2.1 B,28,,Blockchain,1.02x,"Oct 15, 2017",0,https://icodrops.com/polkadot/
Kusama,KSM,Public Sale,$247.76 M,$74.57 M,24,,Blockchain,2.41x,"Oct 15, 2017",0,https://icodrops.com/kusama/
UnikoinGold,UKG,Main Sale,$31.76 M,$174 K,—,,Bets,0.01x,"Sep 21, 2017",0,https://icodrops.com/unikoingold/
COBINHOOD,COB,Main Sale,$45.25 K,$486.1 K,—,,Trading,0.01x,"Sep 12, 2017",0,https://icodrops.com/cobinhood/
Hashrush,RC,Main Sale,$5.79 M,$21 M,—,,Gaming,—,"Sep 20, 2017",0,https://icodrops.com/hashrush/
Gimli,GIM,Main Sale,$5.63 K,$73.05 K,—,,Bets,0.01x,"Sep 18, 2017",0,https://icodrops.com/gimli/
Qvolta,QVT,Main Sale,$2.37 K,$18 M,—,,Trading,0.01x,"Oct 10, 2017",0,https://icodrops.com/qvolta/
Credit Protocol,CPT,Main Sale,$45 K,$30.87 K,—,,Finance,0.01x,"Sep 30, 2017",0,https://icodrops.com/credit-protocol-token/
Paragon,PRG,Main Sale,$50 M,$200 M,—,,Social,0.01x,"Sep 14, 2017",0,https://icodrops.com/paragon/
Doc.ai,NRN,Main Sale,$11.16 M,$86 M,—,,Artificial Intellig…,1x,"Sep 27, 2017",0,https://icodrops.com/doc-ai/
bitJob,STU,Main Sale,$2.31 M,$37.56 K,—,,Marketplace,0.01x,"Sep 12, 2017",0,https://icodrops.com/bitjob/
Anryze,RYZ,Main Sale,$1.76 M,$7.7 M,—,,Blockchain Service,0.28x,"Sep 11, 2017",0,https://icodrops.com/anryze/
Ties.Network,TIE,Main Sale,$9.2 M,$421.28 K,—,,Collaboration,0.03x,"Sep 20, 2017",0,https://icodrops.com/ties-network/
Maecenas,ART,Main Sale,$15.09 M,$31.79 K,—,,Marketplace,0.01x,"Sep 6, 2017",0,https://icodrops.com/maecenas/
DomRaider,DRT,Main Sale,$45 M,$40.77 K,—,,NFT,0.01x,"Sep 12, 2017",0,https://icodrops.com/domraider/
