Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
ClearDAO,CLH,IEO on Gate.io,$236.6 K,$450,6,,DAO,0.01x,"Jan 5, 2022",0,https://icodrops.com/cleardao/
Botto,BOTTO,Airdrop,$1.67 M,$5.3 M,,,NFT,0.08x,"Jan 6, 2022",0,https://icodrops.com/botto/
Ouro,OGS,IDO on Impossible Finance,$1.45 M,$5.77,,,Governance,0.01x,"Jan 3, 2022",0,https://icodrops.com/ouro/
Fees.wtf,WTF,Main Sale,—,$737.93 K,—,,Blockchain Service,—,"Jan 4, 2022",0,https://icodrops.com/fees-wtf/
Lyra,LYRA,Main Sale,—,$83.73 M,—,,Perpetual,0.45x,"Dec 1, 2021",0,https://icodrops.com/lyra/
White Whale,WHALE,IDO Round,$2.9 M,$57.06 K,12,,Protocol,—,"Dec 31, 2021",0,https://icodrops.com/white-whale/
Agoric,,Main Sale Option 2,$90.25 M,$4.05 M,18,,Coinlist Launchpad,0.01x,"Dec 30, 2021",0,https://icodrops.com/agoric/
Coinweb,CWEB,IEO on Gate.io,$9.41 M,$8.89 M,12,,Blockchain,0.09x,"Dec 29, 2021",0,https://icodrops.com/coinweb/
League of Ancients,LOA,IEO on Gate.io,$6.15 M,$1.26 M,14,,NFT,0.01x,"Dec 29, 2021",0,https://icodrops.com/league-of-ancients/
Decimated,DIO,IDO on FireStarter,$8.5 M,$586.8 K,21,,Play to Earn,0.01x,"Dec 29, 2021",0,https://icodrops.com/decimated/
Vader Protocol,VADER,IDO on Gate.io,$2.19 M,$98.5 K,—,,DeFi,0.04x,"Dec 28, 2021",0,https://icodrops.com/vader-protocol/
Asva Labs,ASVA,IDO on Metalaunch,$3.4 M,$44.12 K,28,,DeFi,0.01x,"Dec 29, 2021",0,https://icodrops.com/asva-labs/
AXL INU,AXL,IEO on BitMart,$2.15 M,$220.91 K,—,,DEX,0.01x,"Dec 29, 2021",0,https://icodrops.com/axl-inu/
Light Year,LC,IDO on SafeLaunch,$2.96 M,$397.7 K,8,,Gaming,0.03x,"Dec 29, 2021",0,https://icodrops.com/light-year/
SUPA Foundation,SUPA,IDO on CyberFi,$490 K,$7.42 K,3,,Gaming,0.01x,"Dec 29, 2021",0,https://icodrops.com/supa-foundation/
Astro Verse,ASV,IDO on BSCStation,$1.73 M,$39 K,1,,Gaming,0.01x,"Dec 28, 2021",0,https://icodrops.com/astro-verse/
